# frame,qpc_ms,dt_ms,buf_idx,sync_req,flags_req,sync_used,copy11_us,copy12_us,presentCount,refreshCount,syncRefreshCount,hr
125,192040869.856,41.380,0,0,0x00000200,0,198.7,389.6,0,0,0,0x00000000
126,192040911.675,41.819,1,0,0x00000200,0,195.3,326.7,0,0,0,0x00000000
127,192040953.546,41.871,2,0,0x00000200,0,192.4,362.6,0,0,0,0x00000000
128,192040995.436,41.890,3,0,0x00000200,0,199.3,369.8,0,0,0,0x00000000
129,192041038.993,43.556,0,0,0x00000200,0,279.4,389.6,0,0,0,0x00000000
130,192041078.838,39.845,1,0,0x00000200,0,139.7,364.8,0,0,0,0x00000000
131,192041121.194,42.357,2,0,0x00000200,0,203.6,393.2,0,0,0,0x00000000
132,192041163.030,41.836,3,0,0x00000200,0,130.2,567.8,0,0,0,0x00000000
133,192041203.626,40.595,0,0,0x00000200,0,209.4,372.4,0,0,0,0x00000000
134,192041245.607,41.982,1,0,0x00000200,0,421.2,502.5,0,0,0,0x00000000
135,192041286.898,41.291,2,0,0x00000200,0,199.9,504.2,0,0,0,0x00000000
136,192041328.331,41.433,3,0,0x00000200,0,201.4,491.6,0,0,0,0x00000000
137,192041370.977,42.646,0,0,0x00000200,0,133.5,506.6,0,0,0,0x00000000
138,192041411.956,40.978,1,0,0x00000200,0,282.9,448.6,0,0,0,0x00000000
139,192041453.843,41.887,2,0,0x00000200,0,270.3,356.2,0,0,0,0x00000000
140,192041496.004,42.161,3,0,0x00000200,0,205.4,518.8,0,0,0,0x00000000
141,192041536.912,40.909,0,0,0x00000200,0,196.1,426.8,0,0,0,0x00000000
142,192041579.329,42.417,1,0,0x00000200,0,139.7,679.9,0,0,0,0x00000000
143,192041620.199,40.870,2,0,0x00000200,0,200.5,351.9,0,0,0,0x00000000
144,192041663.634,43.434,3,0,0x00000200,0,214.4,758.8,0,0,0,0x00000000
145,192041703.640,40.006,0,0,0x00000200,0,196.5,342.8,0,0,0,0x00000000
146,192041744.446,40.807,1,0,0x00000200,0,200.3,341.3,0,0,0,0x00000000
147,192041787.285,42.839,2,0,0x00000200,0,200.4,320.2,0,0,0,0x00000000
148,192041828.230,40.945,3,0,0x00000200,0,203.5,340.8,0,0,0,0x00000000
149,192041869.822,41.592,0,0,0x00000200,0,200.2,360.1,0,0,0,0x00000000
150,192041912.149,42.327,1,0,0x00000200,0,241.8,405.3,0,0,0,0x00000000
151,192041953.564,41.415,2,0,0x00000200,0,204.7,377.2,0,0,0,0x00000000
152,192041995.424,41.860,3,0,0x00000200,0,252.7,415.9,0,0,0,0x00000000
153,192042037.976,42.553,0,0,0x00000200,0,217.7,630.1,0,0,0,0x00000000
154,192042079.130,41.153,1,0,0x00000200,0,210.8,436.2,0,0,0,0x00000000
155,192042119.138,40.008,2,0,0x00000200,0,204.6,335.2,0,0,0,0x00000000
156,192042161.951,42.814,3,0,0x00000200,0,203.1,447.7,0,0,0,0x00000000
157,192042203.665,41.714,0,0,0x00000200,0,199.4,444.0,0,0,0,0x00000000
158,192042245.229,41.564,1,0,0x00000200,0,288.2,368.7,0,0,0,0x00000000
159,192042286.732,41.503,2,0,0x00000200,0,208.5,356.0,0,0,0,0x00000000
160,192042328.388,41.656,3,0,0x00000200,0,202.6,340.5,0,0,0,0x00000000
161,192042370.837,42.449,0,0,0x00000200,0,207.1,597.0,0,0,0,0x00000000
162,192042413.294,42.458,1,0,0x00000200,0,196.3,810.5,0,0,0,0x00000000
163,192042454.656,41.361,2,0,0x00000200,0,205.1,382.7,0,0,0,0x00000000
164,192042496.619,41.964,3,0,0x00000200,0,206.2,341.0,0,0,0,0x00000000
165,192042537.919,41.300,0,0,0x00000200,0,213.9,439.6,0,0,0,0x00000000
166,192042580.665,42.746,1,0,0x00000200,0,177.5,643.4,0,0,0,0x00000000
167,192042621.611,40.946,2,0,0x00000200,0,390.5,330.0,0,0,0,0x00000000
168,192042663.387,41.777,3,0,0x00000200,0,199.1,718.1,0,0,0,0x00000000
169,192042704.828,41.440,0,0,0x00000200,0,196.7,578.9,0,0,0,0x00000000
170,192042747.485,42.657,1,0,0x00000200,0,204.1,326.2,0,0,0,0x00000000
171,192042788.006,40.521,2,0,0x00000200,0,201.7,558.2,0,0,0,0x00000000
172,192042830.671,42.665,3,0,0x00000200,0,209.2,353.4,0,0,0,0x00000000
173,192042871.091,40.421,0,0,0x00000200,0,240.7,540.7,0,0,0,0x00000000
174,192042913.731,42.639,1,0,0x00000200,0,203.9,358.7,0,0,0,0x00000000
175,192042954.420,40.690,2,0,0x00000200,0,208.5,614.9,0,0,0,0x00000000
176,192042996.890,42.470,3,0,0x00000200,0,205.7,336.1,0,0,0,0x00000000
177,192043038.005,41.115,0,0,0x00000200,0,442.8,332.2,0,0,0,0x00000000
178,192043080.578,42.574,1,0,0x00000200,0,208.0,311.8,0,0,0,0x00000000
179,192043121.042,40.463,2,0,0x00000200,0,182.3,495.1,0,0,0,0x00000000
180,192043163.316,42.274,3,0,0x00000200,0,208.1,349.8,0,0,0,0x00000000
181,192043204.975,41.659,0,0,0x00000200,0,209.8,531.9,0,0,0,0x00000000
182,192043246.387,41.412,1,0,0x00000200,0,415.4,319.9,0,0,0,0x00000000
183,192043288.120,41.733,2,0,0x00000200,0,201.3,405.3,0,0,0,0x00000000
184,192043330.144,42.024,3,0,0x00000200,0,220.1,322.5,0,0,0,0x00000000
185,192043372.059,41.915,0,0,0x00000200,0,204.9,327.2,0,0,0,0x00000000
186,192043413.707,41.648,1,0,0x00000200,0,203.4,335.8,0,0,0,0x00000000
187,192043455.640,41.933,2,0,0x00000200,0,206.1,320.4,0,0,0,0x00000000
188,192043496.169,40.529,3,0,0x00000200,0,210.0,541.2,0,0,0,0x00000000
189,192043537.750,41.581,0,0,0x00000200,0,234.4,500.8,0,0,0,0x00000000
190,192043579.544,41.794,1,0,0x00000200,0,193.4,527.7,0,0,0,0x00000000
191,192043622.599,43.055,2,0,0x00000200,0,186.8,336.3,0,0,0,0x00000000
192,192043662.994,40.395,3,0,0x00000200,0,189.5,588.8,0,0,0,0x00000000
193,192043705.474,42.480,0,0,0x00000200,0,206.2,331.4,0,0,0,0x00000000
194,192043746.620,41.146,1,0,0x00000200,0,208.7,346.9,0,0,0,0x00000000
195,192043787.792,41.172,2,0,0x00000200,0,211.6,318.2,0,0,0,0x00000000
196,192043830.486,42.693,3,0,0x00000200,0,279.7,504.3,0,0,0,0x00000000
197,192043871.808,41.322,0,0,0x00000200,0,284.6,500.6,0,0,0,0x00000000
198,192043913.750,41.942,1,0,0x00000200,0,470.3,358.8,0,0,0,0x00000000
199,192043955.389,41.640,2,0,0x00000200,0,200.9,316.4,0,0,0,0x00000000
200,192043997.101,41.712,3,0,0x00000200,0,202.9,842.1,0,0,0,0x00000000
# vblank gap histogram (gap = PresentRefreshCount delta per app Present)
# app presents=200, stalled(bridge block > frame period)=0, tearing-flagged=120
# vblank gap histogram (gap = PresentRefreshCount delta per app Present)
# app presents=200, stalled(bridge block > frame period)=0, tearing-flagged=120
